code,description,classification
XM99P0,Thiambutosine,not a valid entry
XM0AR8,Thioacetazone,not a valid entry
XM5MQ5,Thioacetazone with isoniazid,not a valid entry
XM62H2,Thiocarlide,not a valid entry
XM63K0,Anti-infective antiviral,not a valid entry
XM9VL0,Foscarnet sodium,not a valid entry
XM6CJ2,Fosfonet sodium,not a valid entry
XM1M61,Ganciclovir (sodium),not a valid entry
XM58E0,Interferon (alpha) (beta) (gamma),not a valid entry
XM3MC4,Acyclovir,not a valid entry
XM7SG2,Dideoxyinosine,not a valid entry
XM1R42,Ibacitabine,not a valid entry
XM6SP8,Methisazone,not a valid entry
XM5GV1,Moroxydine,not a valid entry
XM8YT1,Ribavirin,not a valid entry
XM2TS5,Rimantadine,not a valid entry
XM7N26,Thymopentin,not a valid entry
XM6WB2,Trifluridine,not a valid entry
XM7GR8,Tromantadine,not a valid entry
XM30N1,Vidarabine,not a valid entry
XM7XQ2,Zalcitabine,not a valid entry
XM9C07,Zidovudine,not a valid entry
XM4GE4,Anti-infective antiprotozoal,not a valid entry
XM4W96,Antimony dimercaptosuccinate,not a valid entry
XM9GG8,Antimony sodium dimercaptosuccinate,not a valid entry
XM4393,Antiprotozoal drug,not a valid entry
XM2HL1,Antitrichomonal drug,not a valid entry
XM5NQ7,Melarsonyl potassium,not a valid entry
XM0UE4,Sodium antimony gluconate,not a valid entry
XM2284,Sodium stibogluconate,not a valid entry
XM0CL7,Stilbamidine (isetionate),not a valid entry
XM3Y85,Acetarsol,not a valid entry
XM8MB3,Acterol,not a valid entry
XM0FS7,Aminitrozole,not a valid entry
XM09B5,Arsthinol,not a valid entry
XM4HZ1,Azanidazole,not a valid entry
XM0JG6,Benznidazole,not a valid entry
XM83L5,Bialamicol,not a valid entry
XM8E05,Carbarsone,not a valid entry
XM9H76,Clefamide,not a valid entry
XM28N6,Dehydroemetine,not a valid entry
XM8DJ7,DHE,not a valid entry
XM0A09,Difetarsone,not a valid entry
XM7AM3,Diloxanide,not a valid entry
XM2HD6,Emetine,not a valid entry
XM3PL8,Etofamide,not a valid entry
XM6YZ9,Flagyl,not a valid entry
XM1RE2,Glaucarubin,not a valid entry
XM6V40,Glycobiarsol,not a valid entry
XM1LB9,Hydroxystilbamidine,not a valid entry
XM4UC9,Melarsoprol,not a valid entry
XM1HA1,Misonidazole,not a valid entry
XM9F49,Nifurtimox,not a valid entry
XM5LH9,Nimorazole,not a valid entry
XM3WL0,Ornidazole,not a valid entry
XM3E43,Oxophenarsine,not a valid entry
XM0067,Pentamidine,not a valid entry
XM5GF4,Phanquinone,not a valid entry
XM98K0,Secnidazole,not a valid entry
XM45H6,Stibogluconate,not a valid entry
XM05U5,Teclozan,not a valid entry
XM5RX3,Tenonitrozole,not a valid entry
XM7Z72,Tinidazole,not a valid entry
XM6XS3,Trichomonacides,not a valid entry
XM5R30,Tryparsamide,not a valid entry
XM3E78,Akritoin,not a valid entry
XM8LB8,Anti-infective arsenical,not a valid entry
XM44A9,Anti-infective heavy metals,not a valid entry
XM8CX5,Antimony anti-infectives,not a valid entry
XM69W3,Antimony potassium tartrate (sodium),not a valid entry
XM2AH2,Antimony tartrated,not a valid entry
XM1Z32,Antiparasitic drug specified,not a valid entry
XM3GP6,Arsenic arsenicals anti-infectives,not a valid entry
XM0L93,Arsphenamine (silver),not a valid entry
XM12U8,Bismuth salts anti-infectives,not a valid entry
XM7A39,Bismuth salts subsalicylate,not a valid entry
XM8SJ3,Bithionol,not a valid entry
XM5MW6,Broxyquinoline,not a valid entry
XM7PV2,Chiniofon,not a valid entry
XM6DH1,Cinoxacin,not a valid entry
XM1V59,Clioquinol,not a valid entry
XM0402,Croconazole,not a valid entry
XM1YN6,Dichlorhydroxyquinoline,not a valid entry
XM59A1,Disinfectant intestinal,not a valid entry
XM97S6,Fluconazole,not a valid entry
XM3BU7,Flucytosine,not a valid entry
XM4923,Flumequine,not a valid entry
XM7BY8,Flunidazole,not a valid entry
XM4XE9,Fluorocytosine,not a valid entry
XM08Z2,Furazolidone,not a valid entry
XM6UT2,Hexetidine,not a valid entry
XM9YB2,Hydroxychloroquine,not a valid entry
XM21E9,Hydroxyquinoline (derivatives),not a valid entry
XM74Y8,Iodobismitol,not a valid entry
XM80M5,Iodoquinol,not a valid entry
XM5XD2,Itraconazole,not a valid entry
XM7T64,Lead anti-infectives,not a valid entry
XM3HJ6,Mandelic acid,not a valid entry
XM0FS9,Mapharsen,not a valid entry
XM2TP0,Meglumine antimoniate,not a valid entry
XM0RW4,Mercury mercurial mercuric mercurous anti-infective systemic,not a valid entry
XM02L5,Methenamine (mandelate),not a valid entry
XM5L15,Methyl glucamine antimonate,not a valid entry
XM5YM6,Metronidazole,not a valid entry
XM82P4,Nalidixic acid,not a valid entry
XM08P3,Neoarsphenamine,not a valid entry
XM26G9,Neosalvarsan,not a valid entry
XM0M05,Neosilversalvarsan,not a valid entry
XM39N3,Nifuratel,not a valid entry
XM1QV5,Nifurtoinol,not a valid entry
XM09K7,Nitrofurantoin,not a valid entry
XM33S9,Nitroxoline,not a valid entry
XM70Q8,Oxolinic acid,not a valid entry
XM7CD2,Oxyquinoline (derivatives),not a valid entry
XM1Z91,Pefloxacin,not a valid entry
XM61M8,Pipemidic acid,not a valid entry
XM1298,Piromidic acid,not a valid entry
XM10R8,Potassium antimony ' tartrate',not a valid entry
XM8WV6,Quiniobine,not a valid entry
XM8U22,Quinoline (derivatives),not a valid entry
XM8SV4,Rosoxacin,not a valid entry
XM3VB9,Salvarsan 606 (neosilver) (silver),not a valid entry
XM6260,Silver salvarsan,not a valid entry
XM3DB2,Sodium cacodylate anti-infective,not a valid entry
XM9L57,Stovarsal,not a valid entry
XM80F6,Sulfarsphenamine,not a valid entry
XM96Q1,Tartar emetic,not a valid entry
XM6A32,Tartrated antimony (anti-infective),not a valid entry
XM9KU4,Thiobismol,not a valid entry
XM9UP9,Thiocarbarsone,not a valid entry
XM5VM3,Tin anti-infectives,not a valid entry
XM7NY9,Trimethoprim,not a valid entry
XM2SB0,Urinary anti-infective,not a valid entry
XM71G5,Xibornol,not a valid entry
XM3SP0,Ammonium mandelate,not a valid entry
XM1FF9,Anti-infective mixed,not a valid entry
XM9TK8,Antifungal anti-infective,not a valid entry
XM37L1,Antiparasitic drug (systemic),not a valid entry
XM9DU1,Calcium mandelate,not a valid entry
XM0BF3,Acriflavine,not a valid entry
XM5N98,Anti-infective,not a valid entry
XM9C36,Ethoxazene,not a valid entry
XM6F90,Furadantin,not a valid entry
XM08F4,Furoxone,not a valid entry
XM1KZ4,Nifuraldezone,not a valid entry
XM95R7,Anti-infective anthelmintic,not a valid entry
XM43K9,Antifilarial drug,not a valid entry
XM9637,Antihookworm drug,not a valid entry
XM16G5,Antinematode drug,not a valid entry
XM2078,Antiplatyhelmintic drug,not a valid entry
XM60W7,Antischistosomal drug,not a valid entry
XM6500,Antitapeworm drug,not a valid entry
XM5273,Antiwhipworm drug,not a valid entry
XM9GK4,Aspidium (oleoresin),not a valid entry
XM3667,Bephenium hydroxy-naphthoate,not a valid entry
XM6FY4,Bithionol anthelminthic,not a valid entry
XM8C12,Dithiazanine iodide,not a valid entry
XM2RX7,Filix mas,not a valid entry
XM4SZ4,Male fern extract,not a valid entry
XM9FH0,Pelletierine tannate,not a valid entry
XM5ZH0,Perchloroethylene medicinal,not a valid entry
XM7SZ5,Pumpkin seed extract,not a valid entry
XM5PX0,Pyrvinium chloride,not a valid entry
XM3FE9,Spigelia (root),not a valid entry
XM11F5,Suramin (sodium),not a valid entry
XM7PN4,Tetrachloroethylene medicinal,not a valid entry
XM2621,Urea stibamine,not a valid entry
XM4555,Wormseed American,not a valid entry
XM2NT3,Alantolactone,not a valid entry
XM79J1,Albendazole,not a valid entry
XM1PP4,Amphotalide,not a valid entry
XM8LU8,Anthiolimine,not a valid entry
XM4EC0,Antihelmintics,not a valid entry
XM7QL4,Ascaridole,not a valid entry
XM5L27,Bitoscanate,not a valid entry
XM4WY5,Chenopodium,not a valid entry
XM0ZD3,Dichlorophen,not a valid entry
XM1VF1,Diethylcarbamazine,not a valid entry
XM5XC2,Fenbendazole,not a valid entry
XM8RG6,Flubendazole,not a valid entry
XM05F2,Ivermectin,not a valid entry
XM5W42,Levamisole,not a valid entry
XM9Z70,Lucanthone,not a valid entry
XM3GX0,Mebendazole,not a valid entry
XM2034,Niclosamide,not a valid entry
XM2WY0,Niridazole,not a valid entry
XM7NR1,Nitrothiazol,not a valid entry
XM5JZ6,Oxamniquine,not a valid entry
XM05V2,Oxantel,not a valid entry
XM3T27,Pinkroot,not a valid entry
XM07V7,Piperazine,not a valid entry
XM8205,Praziquantel,not a valid entry
XM90N4,Pyrantel,not a valid entry
XM9KL1,Santonin,not a valid entry
XM5VV1,Stibophen,not a valid entry
XM4GA8,Teroxalene,not a valid entry
XM93X2,Tetramisole,not a valid entry
XM0CU8,Thiabendazole,not a valid entry
XM5C18,Veroxil,not a valid entry
XM3AT4,Viprynium,not a valid entry
XM19U1,Acedapsone,not a valid entry
XM91Z9,Acesulfamethoxypyridazine,not a valid entry
XM1RU4,Acetylsulfamethoxypyridazine,not a valid entry
XM7WC8,Diaphenylsulfone,not a valid entry
XM96M6,Disulfanilamide,not a valid entry
XM3GA0,Neoprontosil,not a valid entry
XM1RY1,Phthalylsulfathiazole,not a valid entry
XM55D8,Prontosil,not a valid entry
XM85A7,Succinylsulfathiazole,not a valid entry
XM69G3,Sulfachlorpyridazine,not a valid entry
XM5C46,Sulfacitine,not a valid entry
XM28B0,Sulfadiasulfone sodium,not a valid entry
XM57L7,Sulfadoxine,not a valid entry
XM03X3,Sulfaethidole,not a valid entry
XM0F36,Sulfaguanidine,not a valid entry
XM8LL9,Sulfalene,not a valid entry
XM6N26,Sulfaloxate,not a valid entry
XM57M8,Sulfaloxic acid,not a valid entry
XM7R74,Sulfamerazine,not a valid entry
XM8UP5,Sulfameter,not a valid entry
XM61F1,Sulfamethazine,not a valid entry
XM0XY9,Sulfamethizole,not a valid entry
XM23V4,Sulfamethoxydiazine,not a valid entry
XM7XJ2,Sulfamethoxypyridazine,not a valid entry
XM5X85,Sulfamethylthiazole,not a valid entry
XM9ZT7,Sulfametoxydiazine,not a valid entry
XM6D90,Sulfamonomethoxine,not a valid entry
XM43U3,Sulfamoxole,not a valid entry
XM72K1,Sulfanilamide,not a valid entry
XM92E0,Sulfaperin,not a valid entry
XM1G41,Sulfaphenazole,not a valid entry
XM2187,Sulfaphenylthiazole,not a valid entry
XM8QW8,Sulfaproxyline,not a valid entry
XM72R1,Sulfapyridine,not a valid entry
XM8R23,Sulfapyrimidine,not a valid entry
XM2XQ2,Sulfasalazine,not a valid entry
XM9MJ3,Sulfasuxidine,not a valid entry
XM2Y59,Sulfasymazine,not a valid entry
XM3G53,Sulfathiazole,not a valid entry
XM6BM7,Sulfisomidine,not a valid entry
XM5M06,Sulfisoxazole,not a valid entry
XM12D1,Sulphadiazine,not a valid entry
XM3ER6,Sulphadimethoxine,not a valid entry
XM4M00,Sulphadimidine,not a valid entry
XM9TQ5,Sulphafurazole,not a valid entry
XM34F5,Sulphamethizole,not a valid entry
XM1AM5,Sulphamethoxazole,not a valid entry
XM7Z85,Trisulfapyrimidines,not a valid entry
XM5TR4,Amphotericin B (systemic),not a valid entry
XM0407,Antifungal antibiotic,not a valid entry
XM8YE6,Griseofulvin,not a valid entry
XM9CM4,Hachimycin,not a valid entry
XM40Q3,Mepartricin,not a valid entry
XM32L5,Nystatin,not a valid entry
XM2H01,Pimaricin,not a valid entry
XM3WK4,Antibiotic b-lactam,not a valid entry
XM7TD6,Antibiotic cephalosporin (group),not a valid entry
XM3DB8,Aztreonam,not a valid entry
XM7DR9,Cefacetrile,not a valid entry
XM1ZJ9,Cefaclor,not a valid entry
XM11S1,Cefadroxil,not a valid entry
XM9Z22,Cefalexin,not a valid entry
XM5J74,Cefaloglycin,not a valid entry
XM7GR3,Cefaloridine,not a valid entry
XM16K8,Cefalotin,not a valid entry
XM8839,Cefamandole,not a valid entry
XM8J52,Cefamycin antibiotic,not a valid entry
XM6DE1,Cefapirin,not a valid entry
XM8UF3,Cefatrizine,not a valid entry
XM1EQ8,Cefazedone,not a valid entry
XM0BY6,Cefazolin,not a valid entry
XM14Q0,Cefbuperazone,not a valid entry
XM8YC6,Cefetamet,not a valid entry
XM4Q77,Cefixime,not a valid entry
XM6FL0,Cefmenoxime,not a valid entry
XM8S59,Cefmetazole,not a valid entry
XM27Z3,Cefminox,not a valid entry
XM3M14,Cefonicid,not a valid entry
XM5425,Cefoperazone,not a valid entry
XM3QK7,Ceforanide,not a valid entry
XM7CZ4,Cefotaxime,not a valid entry
XM5QJ0,Cefotetan,not a valid entry
XM3V37,Cefotiam,not a valid entry
XM26N9,Cefoxitin,not a valid entry
XM01V2,Cefpimizole,not a valid entry
XM9YD6,Cefpiramide,not a valid entry
XM75P2,Cefroxadine,not a valid entry
XM9732,Cefsulodin,not a valid entry
XM94G4,Ceftazidime,not a valid entry
XM45T3,Cefteram,not a valid entry
XM2L78,Ceftezole,not a valid entry
XM1064,Ceftizoxime,not a valid entry
XM3P83,Ceftriaxone,not a valid entry
XM7VY3,Cefuroxime,not a valid entry
XM0C25,Cefuzonam,not a valid entry
XM4HC8,Cephalosporins,not a valid entry
XM67G9,Cephalothin,not a valid entry
XM8X72,Cephradine,not a valid entry
XM2K88,Clavulanic acid,not a valid entry
XM83K2,Flomoxef,not a valid entry
XM0B94,Latamoxef,not a valid entry
XM7F02,Antibiotic chloramphenicol (group),not a valid entry
XM2TE7,Chloramphenicol,not a valid entry
XM1NE2,Chloromycetin,not a valid entry
XM71H0,Cloponone,not a valid entry
XM40F4,Thiamphenicol,not a valid entry
XM2H40,Anti-infective antibiotics specified,not a valid entry
XM41T2,Antibiotic intestinal,not a valid entry
XM0MJ1,Antibiotic polypeptide,not a valid entry
XM7SQ4,Antibiotic specified,not a valid entry
XM6AH3,Fusidic acid,not a valid entry
XM0NQ2,Polymyxin B,not a valid entry
XM0BX1,Sodium fusidate,not a valid entry
XM22Y8,Trimethoprim with sulfamethoxazole,not a valid entry
XM5183,Aerosporin,not a valid entry
XM5PV6,Albamycin,not a valid entry
XM4E54,Amphomycin,not a valid entry
XM2EH2,Betamicin,not a valid entry
XM0892,Capreomycin,not a valid entry
XM0D75,Carbomycin,not a valid entry
XM77G2,Ciprofloxacin,not a valid entry
XM8158,Clindamycin,not a valid entry
XM6510,Colistin,not a valid entry
XM7SH9,Enoxacin,not a valid entry
XM74K5,Enviomycin,not a valid entry
XM2GR2,Fleroxacin,not a valid entry
XM0HU8,Fosfomycin,not a valid entry
XM2AA0,Fugillin,not a valid entry
XM57W4,Fumadil,not a valid entry
XM5WJ8,Fumagillin,not a valid entry
XM5UL0,Fusafungine,not a valid entry
XM53Q9,Lincomycin,not a valid entry
XM14K4,Neosporin,not a valid entry
XM85E7,Norfloxacin,not a valid entry
XM8072,Ofloxacin,not a valid entry
XM8MH4,Polymyxin,not a valid entry
XM19A7,Ristocetin,not a valid entry
XM4F54,Sulfomyxin,not a valid entry
XM2004,Teicoplanin,not a valid entry
XM9YD1,Vancomycin,not a valid entry
XM6HE3,Viomycin,not a valid entry
XM2A60,Virginiamycin,not a valid entry
XM2Y60,Anti-infective antimycobacterial antibiotics,not a valid entry
XM4LV0,Antibiotic aminoglycoside,not a valid entry
XM7AQ6,Antibiotic antimycobacterial,not a valid entry
XM8XH0,Antimycobacterial drug antibiotics,not a valid entry
XM7WC2,Antituberculars antibiotics,not a valid entry
XM2YC8,Neomycin (derivatives),not a valid entry
XM6T34,Streptomycin (derivative),not a valid entry
XM3X89,Amikacin,not a valid entry
XM4BG6,Astromicin,not a valid entry
XM4PT0,Bekanamycin,not a valid entry
XM45U4,Dibekacin,not a valid entry
XM8KT1,Dihydrostreptomycin,not a valid entry
XM0PH0,Framycetin,not a valid entry
XM6L46,Garamycin,not a valid entry
XM3YS5,Gentamicin,not a valid entry
XM6YS3,Isepamicin,not a valid entry
XM0C03,Kanamycin,not a valid entry
XM9VS3,Micronomicin,not a valid entry
XM1W69,Netilmicin,not a valid entry
XM1QQ2,Novobiocin,not a valid entry
XM1696,Paromomycin,not a valid entry
XM58T2,Ribostamycin,not a valid entry
XM4GS3,Sisomicin,not a valid entry
XM2TG1,Spectinomycin,not a valid entry
XM7N64,Streptoduocin,not a valid entry
XM4YK6,Streptonivicin,not a valid entry
XM40X6,Streptovarycin,not a valid entry
XM6G20,Tobramycin,not a valid entry
XM1329,Azithromycin,not a valid entry
XM36F7,Erythromycin (salts),not a valid entry
XM5XB9,Ilotycin,not a valid entry
XM2YT6,Josamycin,not a valid entry
XM06K0,Kitasamycin,not a valid entry
XM6ML2,Macrolide antibiotic,not a valid entry
XM80A1,Midecamycin,not a valid entry
XM3CC3,Miokamycin,not a valid entry
XM8HR9,Oleandomycin,not a valid entry
XM48W5,Pristinamycin,not a valid entry
XM8UC1,Rokitamycin,not a valid entry
XM98M0,Roxithromycin,not a valid entry
XM1K16,Spiramycin,not a valid entry
XM2WF8,Troleandomycin,not a valid entry
XM1JY8,Adicillin,not a valid entry
XM19G5,Amdinocilline,not a valid entry
XM7CM1,Amoxicillin,not a valid entry
XM5MY7,Ampicillin,not a valid entry
XM1LV7,Ancillin,not a valid entry
XM0JT4,Apalcillin,not a valid entry
XM70P4,Aspoxicillin,not a valid entry
XM4EZ4,Azidocillin,not a valid entry
XM8820,Azlocillin,not a valid entry
XM46K9,Bacampicillin,not a valid entry
XM94E1,Benethamine penicillin,not a valid entry
XM4E82,Benzathine benzylpenicillin,not a valid entry
XM83S8,Benzylpenicillin,not a valid entry
XM3D58,Carbenicillin,not a valid entry
XM2SP1,Carfecillin,not a valid entry
XM7J83,Carindacillin,not a valid entry
XM9MK4,Cephalosporins N (adicillin),not a valid entry
XM4YY1,Clemizole penicillin,not a valid entry
XM5N44,Clometocillin,not a valid entry
XM6L30,Cloxacillin,not a valid entry
XM2361,Cyclacillin,not a valid entry
XM5SF7,Dicloxacillin,not a valid entry
XM31J4,Epicillin,not a valid entry
XM6AV2,Flucloxacillin,not a valid entry
XM9HP3,Hetacillin,not a valid entry
XM9VG2,Hydrabamine penicillin,not a valid entry
XM7LA4,Imipenem,not a valid entry
XM0V84,Isoxazolyl penicillin,not a valid entry
XM5562,Mecillinam,not a valid entry
XM1HX8,Metampicillin,not a valid entry
XM0PP7,Methicillin,not a valid entry
XM00H2,Methoxybenzyl penicillin,not a valid entry
XM1Z93,Mezlocillin,not a valid entry
XM8HL9,Nafcillin,not a valid entry
XM2UY3,Oxacillin,not a valid entry
XM16L6,Penamecillin,not a valid entry
XM9XB6,Penethamate,not a valid entry
XM7Q57,Penicillin (any),not a valid entry
XM71L1,Phenbenicillin,not a valid entry
XM9NF6,Pheneticillin,not a valid entry
XM9B11,Phenoxymethyl penicillin,not a valid entry
XM3MP9,Piperacillin,not a valid entry
XM7CR7,Pivampicillin,not a valid entry
XM9LR3,Pivmecillinam,not a valid entry
XM4HD6,Procaine benzylpenicillin,not a valid entry
XM5MN2,Propicillin,not a valid entry
XM3Y87,Sulbactam,not a valid entry
XM3S35,Sulbenicillin,not a valid entry
XM0RU1,Sultamicillin,not a valid entry
XM3Z13,Talampicillin,not a valid entry
XM1QC3,Temocillin,not a valid entry
XM4D90,Ticarcillin,not a valid entry
XM3UP8,Xantocillin,not a valid entry
XM7AS1,Isoniazid with rifampicin,not a valid entry
XM4094,Ansamycin,not a valid entry
XM5QH8,Rifabutin,not a valid entry
XM38J6,Rifamide,not a valid entry
XM0R30,Rifampicin,not a valid entry
XM7HL1,Rifamycin,not a valid entry
XM2LE1,Rifaximin,not a valid entry
XM8124,Antibiotic tetracycline (group),not a valid entry
XM2NU4,Achromycin,not a valid entry
XM1QD9,Aureomycin,not a valid entry
XM7FD5,Chlormethylenecycline,not a valid entry
XM1JT2,Chlortetracycline,not a valid entry
XM0WY0,Clomocycline,not a valid entry
XM9219,Declomycin,not a valid entry
XM17F8,Demethylchlortetracycline,not a valid entry
XM7KG3,Demethyltetracycline,not a valid entry
XM7J58,Doxycycline,not a valid entry
XM4492,Guamecycline,not a valid entry
XM47D7,Lymecycline,not a valid entry
XM9KD5,Meclocycline,not a valid entry
XM4CA1,Metacycline,not a valid entry
XM5TY0,Minocycline,not a valid entry
XM3D34,Penimepicycline,not a valid entry
XM9X45,Polycycline,not a valid entry
XM45X2,Rolitetracycline,not a valid entry
XM8DQ8,Terramycin,not a valid entry
XM0BP1,Tetracycline,not a valid entry
XM4B01,Acetic acid with sodium acetate (ointment),not a valid entry
XM7MV6,Acrylic resin,not a valid entry
XM8U60,Allylthiourea,not a valid entry
XM06X6,Aluminium aluminum ointment (surgical) (topical),not a valid entry
XM2P83,Aluminium aluminum topical,not a valid entry
XM1S82,Aminobenzoic acid (-p),not a valid entry
XM3VB3,Arachis oil,not a valid entry
XM8SU9,Barrier cream,not a valid entry
XM5L08,Bentonite,not a valid entry
XM6F99,Benzophenone-3,not a valid entry
XM4DT5,Benzophenone-4,not a valid entry
XM08U7,Betula oil,not a valid entry
XM7K00,Calamine (lotion),not a valid entry
XM4Q53,Carbowax,not a valid entry
XM2EP3,Cellulose nitrates (topical),not a valid entry
XM9ZA9,Chlordiethyl benzamide,not a valid entry
XM88R8,Cold cream,not a valid entry
XM1TE8,Collodion,not a valid entry
XM0XE8,Colophony adhesive,not a valid entry
XM7033,Corn starch,not a valid entry
XM38M3,Cornhusker's lotion,not a valid entry
XM8P34,Cottonseed oil,not a valid entry
XM7UK6,Cyanoacrylate adhesive,not a valid entry
XM5PK1,Demulcent (external),not a valid entry
XM95C1,Demulcent specified,not a valid entry
XM0XB3,Diethyl toluamide medicinal,not a valid entry
XM9U76,Dimethyl phthalate,not a valid entry
XM1C59,Emollient,not a valid entry
XM2NT1,Filtering cream,not a valid entry
XM8KY4,Flaxseed (medicinal),not a valid entry
XM6694,Homosalate,not a valid entry
XM8M74,Hydrophilic lotion,not a valid entry
XM8WH4,Lanolin,not a valid entry
XM7TK2,Mecrilate,not a valid entry
XM7MA2,Meladinin,not a valid entry
XM7VP7,Melanizing agents,not a valid entry
XM1008,Meloxine,not a valid entry
XM5447,Methoxa-Dome,not a valid entry
XM8EY7,Mexenone,not a valid entry
XM9TZ7,Mineral oil topical,not a valid entry
XM3214,Octafonium (chloride),not a valid entry
XM66S8,Oil wintergreen (bitter),not a valid entry
XM5R58,Oily preparation (for skin),not a valid entry
XM9JC3,Ointment,not a valid entry
XM9CQ4,Oxsoralen,not a valid entry
XM9BP7,PABA,not a valid entry
XM0VT0,Padimate,not a valid entry
XM9AG3,Para-aminobenzoic acid,not a valid entry
XM1U48,Peanut oil topical,not a valid entry
XM8PB6,Petrolatum,not a valid entry
XM1TG5,Phenyl salicylate,not a valid entry
XM8J96,Plaster dressing,not a valid entry
XM9V04,Plastic dressing,not a valid entry
XM2BL7,Polyethylene adhesive,not a valid entry
XM6J14,Protectant skin,not a valid entry
XM9VE3,Pyroxylin,not a valid entry
XM8293,Rose water ointment,not a valid entry
XM9116,Salol,not a valid entry
XM06Y2,Silicone medicinal,not a valid entry
XM9410,Solar lotion,not a valid entry
XM4YA6,Sulisobenzone,not a valid entry
XM7YQ8,Sweet oil (birch),not a valid entry
XM70S5,Talc powder,not a valid entry
XM3599,Talcum,not a valid entry
XM3MF9,Thiosinamine,not a valid entry
XM7Q94,Titanium dioxide,not a valid entry
XM2ET7,Titanium ointment,not a valid entry
XM6WX7,Titanium oxide,not a valid entry
XM66W6,Trimethylpsoralen,not a valid entry
XM13C4,Trisoralen,not a valid entry
XM5E39,Ultraviolet light protectant,not a valid entry
XM5PP3,Unna's boot,not a valid entry
XM6W78,Vaseline,not a valid entry
XM4526,Wintergreen (oil),not a valid entry
XM5H58,Wool fat,not a valid entry
XM4BQ7,Xanthotoxin,not a valid entry
XM8H46,Zinc gelatin,not a valid entry
XM7ZV3,Zinc oxide plaster,not a valid entry
XM7RG9,Zinc oxide,not a valid entry
XM4NT3,Zinc stearate,not a valid entry
XM8YJ6,Colophonium,not a valid entry
XM85Z1,Fluoride medicinal dental use,not a valid entry
XM2G89,Fluoristan,not a valid entry
XM9RB7,Stannous fluoride,not a valid entry
XM60N7,Bismuth salts formic iodide,not a valid entry
XM0DJ3,Cadexomer iodine,not a valid entry
XM8UZ7,Diiodohydroxyquin topical,not a valid entry
XM8C24,Iodide mercury (ointment),not a valid entry
XM3Q63,Iodide methylate,not a valid entry
XM2CC6,Iodine (antiseptic external) (tincture),not a valid entry
XM7N19,Iodine solution,not a valid entry
XM6TG8,Iodochlorhydroxyquin topical,not a valid entry
XM58X1,Potassium iodate,not a valid entry
XM24J7,Povidone iodine,not a valid entry
XM0809,Iodide,not a valid entry
XM3X72,Iodoform,not a valid entry
XM7H25,Alum (medicinal),not a valid entry
XM2GV6,Ammonium ichthyosulronate,not a valid entry
XM0NF3,Bleaching agent (medicinal),not a valid entry
XM4FV2,Cade oil,not a valid entry
XM2ST0,Cadmium sulfide (medicinal),not a valid entry
XM6RT1,Carbazochrome (salicylate) (sodium sulfonate),not a valid entry
XM4AW0,Carbon dioxide snow,not a valid entry
XM6EK6,Cellulose oxidized,not a valid entry
XM3P37,Coal tar medicinal (ointment),not a valid entry
XM7PM1,Corn cures,not a valid entry
XM4AG4,Desloughing agent,not a valid entry
XM95C8,Diachylon plaster,not a valid entry
XM64V2,Dimethyl sulfoxide medicinal,not a valid entry
XM26P0,Dimethylamine sulfate,not a valid entry
XM9UT2,Enzyme local action,not a valid entry
XM17Y7,Enzyme proteolytic,not a valid entry
XM3JC8,Ethyl chloride local,not a valid entry
XM4P92,Ethyl fumarate,not a valid entry
XM3GD9,Flowers of sulfur,not a valid entry
XM7WA3,Fumaric acid,not a valid entry
XM7VL9,Hair dye,not a valid entry
XM2HD3,Hair preparation,not a valid entry
XM7KM8,Isopropyl alcohol medicinal,not a valid entry
XM6ES1,Keratolytic drug anthracene,not a valid entry
XM23V5,Keratolytic drug,not a valid entry
XM76E0,Lassar's paste,not a valid entry
XM1VX5,Methyl nicotinate,not a valid entry
XM00R6,Preparation local,not a valid entry
XM6YQ8,Pyrithione zinc,not a valid entry
XM4549,Resorcin resorcinol medicinal,not a valid entry
XM7JE0,Salicylic acid with benzoic acid,not a valid entry
XM68B5,Salicylic acid,not a valid entry
XM02N6,Savin (oil),not a valid entry
XM4CB3,Selenium disulfide or sulfide,not a valid entry
XM43T8,Selenium sulfide,not a valid entry
XM3E07,Silver nitrate toughened (keratolytic),not a valid entry
XM62R7,Silver sulfadiazine,not a valid entry
XM1FW6,Sulfur sulfurated sulfuric sulfurous sulfuryl (compounds not elsewhere classified) (medicinal),not a valid entry
XM6ZA6,Sulfur sulfurated sulfuric sulfurous sulfuryl medicinal (keratolytic) (ointment),not a valid entry
XM6U21,Trichloroacetic acid Trichloracetic acid medicinal,not a valid entry
XM2V83,Vleminckx's solution,not a valid entry
XM6T99,White lotion (keratolytic),not a valid entry
XM0FY9,Zinc pyrithionate,not a valid entry
XM9ZS1,Allantoin,not a valid entry
XM8HL4,Anthralin,not a valid entry
XM8SX1,Antiseborrheics,not a valid entry
XM8GU1,Butantrone,not a valid entry
XM9TT3,Capsicum,not a valid entry
XM01Q7,Chlorothymol,not a valid entry
XM92H5,Chloroxine,not a valid entry
XM7HY4,Chrysarobin,not a valid entry
XM3LD7,Collagenase,not a valid entry
XM5W78,Depilatory,not a valid entry
XM8RS8,Dithranol,not a valid entry
XM7WC9,Euresol,not a valid entry
XM8GV4,Hemostyptic,not a valid entry
XM5TR5,Ichthyol,not a valid entry
XM4KL1,Keratoplastic,not a valid entry
XM8N27,Monobenzone,not a valid entry
XM5DQ2,Rubefacient,not a valid entry
